Time(s),X(m),Y(m),Theta(rad),Theta(deg)
2.245,0.574462,-0.120754,-0.215106,-12.325
2.266,0.590860,-0.125286,-0.218888,-12.541
2.288,0.607477,-0.130066,-0.222980,-12.776
2.310,0.624332,-0.135011,-0.226972,-13.005
2.333,0.641464,-0.140087,-0.231105,-13.241
2.350,0.658804,-0.145384,-0.235592,-13.498
2.372,0.676365,-0.150900,-0.240321,-13.769
2.392,0.694067,-0.156702,-0.245415,-14.061
2.413,0.711982,-0.162646,-0.250726,-14.366
2.435,0.730115,-0.168786,-0.256206,-14.680
2.451,0.748472,-0.174937,-0.261398,-14.977
2.473,0.766971,-0.181471,-0.267173,-15.308
2.493,0.785763,-0.188012,-0.272529,-15.615
2.514,0.804785,-0.194786,-0.277669,-15.909
2.535,0.823966,-0.201597,-0.283011,-16.215
2.553,0.843382,-0.208646,-0.288312,-16.519
2.577,0.862959,-0.215987,-0.293719,-16.829
2.591,0.882678,-0.223211,-0.299073,-17.136
2.614,0.902563,-0.230746,-0.304118,-17.425
2.634,0.922638,-0.238231,-0.308627,-17.683
2.655,0.943000,-0.245873,-0.312791,-17.922
2.678,0.963552,-0.253450,-0.316285,-18.122
2.695,0.984153,-0.261395,-0.319958,-18.332
2.719,1.004799,-0.269360,-0.323911,-18.559
2.740,1.025343,-0.277781,-0.329115,-18.857
2.759,1.045921,-0.286268,-0.334389,-19.159
2.780,1.066285,-0.295010,-0.340486,-19.508
2.802,1.086447,-0.304031,-0.346784,-19.869
2.820,1.106588,-0.312883,-0.352235,-20.182
2.842,1.126862,-0.321515,-0.356220,-20.410
2.859,1.147237,-0.329783,-0.358094,-20.517
2.879,1.167806,-0.337666,-0.358426,-20.536
2.899,1.188329,-0.345446,-0.357683,-20.494
2.922,1.209072,-0.352707,-0.355582,-20.373
2.940,1.229976,-0.359605,-0.351431,-20.136
2.959,1.250702,-0.366241,-0.346592,-19.858
2.979,1.271836,-0.372012,-0.339445,-19.449
3.001,1.292949,-0.377745,-0.331237,-18.978
3.019,1.313766,-0.383288,-0.322742,-18.492
3.043,1.334490,-0.388508,-0.314329,-18.010
3.056,1.355285,-0.393616,-0.306413,-17.556
3.077,1.376261,-0.398708,-0.299268,-17.147
3.100,1.397492,-0.403887,-0.292876,-16.781
3.118,1.418935,-0.409177,-0.286971,-16.442
3.141,1.440532,-0.414503,-0.281338,-16.119
3.158,1.462432,-0.419729,-0.276180,-15.824
3.181,1.484188,-0.425221,-0.272184,-15.595
3.202,1.505752,-0.430822,-0.269091,-15.418
3.220,1.527425,-0.436326,-0.266276,-15.256
3.240,1.548700,-0.441859,-0.263563,-15.101
3.259,1.569966,-0.447275,-0.261386,-14.976
3.279,1.591366,-0.452694,-0.259124,-14.847
3.305,1.612563,-0.458112,-0.256839,-14.716
3.325,1.633712,-0.463381,-0.254717,-14.594
3.346,1.654617,-0.468572,-0.252023,-14.440
3.364,1.675388,-0.473691,-0.249655,-14.304
3.386,1.696327,-0.478658,-0.247830,-14.200
3.404,1.717252,-0.483729,-0.245982,-14.094
3.422,1.737792,-0.488740,-0.244012,-13.981
3.441,1.758351,-0.493769,-0.242718,-13.907
3.462,1.778628,-0.498712,-0.240701,-13.791
3.485,1.798632,-0.503454,-0.238479,-13.664
3.506,1.818546,-0.508565,-0.238426,-13.661
3.523,1.838410,-0.513607,-0.238699,-13.676
3.545,1.857796,-0.518765,-0.239166,-13.703
