Time(s),X(m),Y(m),Theta(rad),Theta(deg)
38.816,0.971334,2.260514,-2.933136,-168.056
38.837,0.971349,2.260445,-2.932755,-168.034
38.854,0.971337,2.260477,-2.932743,-168.034
38.876,0.971344,2.260443,-2.932498,-168.020
38.898,0.971324,2.260388,-2.932321,-168.010
38.917,0.971392,2.260418,-2.932177,-168.001
38.942,0.971451,2.260354,-2.931664,-167.972
38.959,0.971445,2.260352,-2.931612,-167.969
38.983,0.971559,2.260359,-2.931432,-167.959
39.005,0.971601,2.260366,-2.931370,-167.955
39.025,0.971601,2.260348,-2.931373,-167.955
39.049,0.971746,2.260329,-2.930936,-167.930
39.070,0.971746,2.260232,-2.930650,-167.914
39.088,0.971730,2.260195,-2.930600,-167.911
39.111,0.971801,2.260193,-2.930335,-167.896
39.133,0.971789,2.260114,-2.930145,-167.885
39.156,0.971811,2.260119,-2.930069,-167.881
39.182,0.971867,2.260136,-2.930009,-167.877
39.198,0.971961,2.260132,-2.929788,-167.864
39.217,0.972046,2.260130,-2.929675,-167.858
39.239,0.972159,2.260132,-2.929439,-167.844
39.263,0.972219,2.260061,-2.929041,-167.822
39.285,0.972217,2.259985,-2.928793,-167.807
39.303,0.972339,2.259995,-2.928569,-167.795
39.322,0.972478,2.259959,-2.928414,-167.786
39.344,0.972591,2.259856,-2.927926,-167.758
39.368,0.972676,2.259872,-2.927789,-167.750
39.391,0.972843,2.259835,-2.927259,-167.720
39.413,0.972906,2.259794,-2.926986,-167.704
39.434,0.972980,2.259756,-2.926856,-167.696
39.455,0.973208,2.259746,-2.926257,-167.662
39.472,0.973327,2.259618,-2.925682,-167.629
39.496,0.973379,2.259530,-2.925376,-167.612
39.516,0.973546,2.259487,-2.924935,-167.586
39.540,0.973573,2.259291,-2.924306,-167.550
39.560,0.973495,2.258969,-2.923095,-167.481
39.581,0.973316,2.258592,-2.921532,-167.391
39.603,0.973052,2.257976,-2.919132,-167.254
39.626,0.972563,2.257148,-2.916195,-167.086
39.646,0.972083,2.256177,-2.912563,-166.878
39.666,0.971648,2.255312,-2.909307,-166.691
39.687,0.971574,2.255174,-2.908205,-166.628
39.709,0.971793,2.255231,-2.908295,-166.633
39.726,0.971944,2.255082,-2.907463,-166.585
39.748,0.972112,2.254726,-2.905774,-166.489
39.769,0.971894,2.254267,-2.903998,-166.387
39.791,0.971316,2.253806,-2.902511,-166.302
39.810,0.970675,2.253483,-2.901881,-166.266
39.832,0.970396,2.253365,-2.901523,-166.245
39.854,0.970390,2.253360,-2.901508,-166.244
39.873,0.970510,2.253437,-2.901597,-166.249
39.903,0.970675,2.253538,-2.901463,-166.242
39.929,0.970583,2.253509,-2.901326,-166.234
39.951,0.970588,2.253514,-2.901065,-166.219
39.973,0.970498,2.253423,-2.900936,-166.211
39.997,0.970510,2.253451,-2.900740,-166.200
40.019,0.970476,2.253401,-2.900742,-166.200
40.040,0.970457,2.253423,-2.900558,-166.190
40.061,0.970408,2.253383,-2.900523,-166.188
40.079,0.970382,2.253399,-2.900312,-166.176
40.099,0.970419,2.253387,-2.900343,-166.177
40.124,0.970478,2.253449,-2.900262,-166.173
40.142,0.970391,2.253419,-2.900161,-166.167
40.162,0.970324,2.253433,-2.900034,-166.160
40.187,0.970364,2.253416,-2.900047,-166.160
40.203,0.970433,2.253491,-2.900043,-166.160
40.225,0.970407,2.253511,-2.899885,-166.151
40.250,0.970348,2.253495,-2.899759,-166.144
40.263,0.970408,2.253565,-2.899495,-166.129
40.285,0.970288,2.253540,-2.899337,-166.120
40.303,0.970212,2.253569,-2.899238,-166.114
40.332,0.970283,2.253584,-2.899292,-166.117
40.350,0.970265,2.253550,-2.899117,-166.107
40.372,0.970240,2.253537,-2.899140,-166.108
40.392,0.970310,2.253572,-2.899037,-166.103
40.418,0.970213,2.253478,-2.898816,-166.090
40.438,0.970221,2.253566,-2.898667,-166.081
40.461,0.970247,2.253568,-2.898552,-166.075
40.482,0.970303,2.253599,-2.898512,-166.072
40.506,0.970364,2.253662,-2.898513,-166.073
40.524,0.970342,2.253626,-2.898438,-166.068
40.542,0.970388,2.253652,-2.898366,-166.064
40.561,0.970414,2.253681,-2.898313,-166.061
40.588,0.970417,2.253697,-2.898239,-166.057
40.605,0.970438,2.253697,-2.897968,-166.041
40.648,0.970452,2.253711,-2.897875,-166.036
40.648,0.970567,2.253810,-2.897766,-166.030
40.683,0.970520,2.253740,-2.897625,-166.022
40.701,0.970493,2.253736,-2.897461,-166.012
40.720,0.970526,2.253760,-2.897398,-166.009
40.768,0.970549,2.253762,-2.897286,-166.002
40.781,0.970532,2.253638,-2.896840,-165.977
40.800,0.970379,2.253420,-2.896046,-165.931
40.818,0.970270,2.253345,-2.895493,-165.900
40.835,0.970065,2.253006,-2.894380,-165.836
40.854,0.969728,2.252692,-2.893242,-165.771
40.871,0.969372,2.252269,-2.891740,-165.685
40.891,0.968778,2.251784,-2.890367,-165.606
40.913,0.968202,2.251181,-2.888557,-165.502
40.935,0.967449,2.250663,-2.886975,-165.411
40.953,0.966911,2.250292,-2.885581,-165.332
40.972,0.966551,2.250164,-2.884871,-165.291
40.992,0.966479,2.250144,-2.884323,-165.260
41.014,0.966357,2.249923,-2.883573,-165.217
41.038,0.966072,2.249802,-2.883119,-165.191
41.056,0.965905,2.249523,-2.882107,-165.133
41.088,0.965711,2.249483,-2.881675,-165.108
41.102,0.965562,2.249496,-2.881516,-165.099
41.125,0.965430,2.249540,-2.881605,-165.104
41.144,0.965324,2.249605,-2.881901,-165.121
41.165,0.965330,2.249499,-2.881442,-165.094
41.187,0.965196,2.249254,-2.880434,-165.037
41.206,0.964829,2.248801,-2.879034,-164.957
41.229,0.964288,2.248189,-2.877196,-164.851
41.251,0.963686,2.247584,-2.875086,-164.730
41.268,0.962996,2.246725,-2.872339,-164.573
41.289,0.962075,2.245818,-2.869365,-164.402
41.310,0.961147,2.244591,-2.865470,-164.179
41.331,0.960419,2.243221,-2.860405,-163.889
41.352,0.959522,2.241551,-2.854653,-163.560
41.375,0.958754,2.239797,-2.848019,-163.179
41.395,0.958115,2.238150,-2.841221,-162.790
41.416,0.957603,2.237497,-2.837500,-162.577
41.437,0.957110,2.237140,-2.835875,-162.484
41.458,0.956504,2.236778,-2.834872,-162.426
41.480,0.956118,2.236624,-2.834368,-162.397
41.500,0.956138,2.236795,-2.834452,-162.402
41.521,0.956429,2.237018,-2.834918,-162.429
41.544,0.956807,2.236976,-2.834224,-162.389
41.565,0.957312,2.236732,-2.832518,-162.291
41.584,0.958132,2.236496,-2.830238,-162.161
41.604,0.959248,2.236183,-2.827340,-161.995
41.621,0.960626,2.235764,-2.823803,-161.792
41.642,0.962202,2.235230,-2.819399,-161.540
41.662,0.963923,2.234564,-2.814266,-161.246
41.681,0.965770,2.233758,-2.808317,-160.905
41.703,0.967582,2.232938,-2.802096,-160.548
41.724,0.969716,2.232335,-2.796195,-160.210
41.743,0.971652,2.231880,-2.790967,-159.911
41.763,0.972605,2.231937,-2.789223,-159.811
41.788,0.973304,2.231511,-2.786419,-159.650
41.811,0.973982,2.231485,-2.784459,-159.538
41.836,0.974682,2.231022,-2.781568,-159.372
41.860,0.975613,2.230455,-2.777662,-159.148
41.878,0.976964,2.229881,-2.773033,-158.883
41.898,0.978628,2.229096,-2.767279,-158.553
41.921,0.980514,2.228190,-2.760355,-158.157
41.941,0.982748,2.227418,-2.752974,-157.734
41.959,0.985099,2.226587,-2.744509,-157.249
41.980,0.987341,2.225086,-2.734498,-156.675
42.002,0.989890,2.223889,-2.724463,-156.100
42.031,0.992695,2.222411,-2.713488,-155.471
42.065,0.995594,2.221019,-2.701918,-154.808
42.082,0.998810,2.219608,-2.690468,-154.152
42.101,1.002075,2.218187,-2.678572,-153.471
42.118,1.005364,2.216527,-2.665639,-152.730
42.144,1.008589,2.214799,-2.651980,-151.947
42.158,1.011875,2.212992,-2.637941,-151.143
42.176,1.015014,2.211426,-2.625212,-150.414
42.197,1.017956,2.209745,-2.611839,-149.647
42.218,1.020980,2.208527,-2.599886,-148.963
42.237,1.023649,2.206781,-2.587487,-148.252
42.257,1.026315,2.205111,-2.575186,-147.547
42.281,1.028865,2.203200,-2.562092,-146.797
42.299,1.031332,2.201207,-2.548746,-146.032
42.324,1.033710,2.199316,-2.535800,-145.291
42.343,1.035754,2.197264,-2.522854,-144.549
42.363,1.037914,2.195597,-2.510939,-143.866
42.388,1.039985,2.193432,-2.498160,-143.134
42.403,1.042030,2.191443,-2.485455,-142.406
42.426,1.044008,2.189521,-2.472773,-141.679
42.445,1.045911,2.187695,-2.460313,-140.966
42.462,1.047941,2.186324,-2.449613,-140.353
42.484,1.049722,2.184668,-2.439045,-139.747
42.502,1.051414,2.182987,-2.428458,-139.140
42.520,1.052814,2.181667,-2.418856,-138.590
42.541,1.054020,2.180111,-2.409551,-138.057
42.561,1.054622,2.179058,-2.403616,-137.717
42.586,1.054764,2.178404,-2.401123,-137.574
42.605,1.054508,2.178231,-2.401093,-137.573
42.624,1.054368,2.178290,-2.401337,-137.586
42.644,1.054337,2.178514,-2.401911,-137.619
42.662,1.054376,2.178705,-2.401970,-137.623
42.682,1.054433,2.178698,-2.401576,-137.600
42.707,1.054497,2.178697,-2.401106,-137.573
42.729,1.054503,2.178643,-2.400632,-137.546
42.754,1.054457,2.178638,-2.400212,-137.522
42.777,1.054402,2.178632,-2.399951,-137.507
42.800,1.054332,2.178628,-2.399676,-137.491
42.823,1.054281,2.178681,-2.399559,-137.485
42.842,1.054223,2.178684,-2.399441,-137.478
42.861,1.054148,2.178659,-2.399173,-137.462
42.891,1.054065,2.178661,-2.398961,-137.450
42.914,1.054046,2.178709,-2.398912,-137.448
42.938,1.054060,2.178788,-2.398812,-137.442
42.960,1.054049,2.178798,-2.398522,-137.425
42.984,1.054025,2.178846,-2.398305,-137.413
43.004,1.054042,2.178900,-2.398221,-137.408
43.030,1.054026,2.178965,-2.398042,-137.398
43.053,1.054017,2.178997,-2.397942,-137.392
43.076,1.054070,2.179102,-2.397894,-137.389
43.097,1.054074,2.179165,-2.397883,-137.389
43.118,1.054091,2.179250,-2.397860,-137.387
43.146,1.054076,2.179293,-2.397842,-137.386
43.168,1.054061,2.179336,-2.397774,-137.382
43.192,1.054075,2.179398,-2.397652,-137.375
43.216,1.054044,2.179399,-2.397481,-137.366
43.233,1.054012,2.179416,-2.397277,-137.354
43.257,1.053969,2.179376,-2.397177,-137.348
43.279,1.053873,2.179313,-2.397034,-137.340
43.305,1.053724,2.179192,-2.396786,-137.326
43.325,1.053526,2.179048,-2.396719,-137.322
43.350,1.053311,2.178794,-2.396458,-137.307
43.374,1.052998,2.178551,-2.396231,-137.294
43.395,1.052675,2.178245,-2.396198,-137.292
43.421,1.052330,2.177966,-2.396027,-137.282
43.437,1.051931,2.177581,-2.395797,-137.269
43.457,1.051500,2.177204,-2.395660,-137.261
43.475,1.051024,2.176759,-2.395574,-137.256
43.499,1.050516,2.176306,-2.395348,-137.243
43.517,1.050006,2.175752,-2.394931,-137.219
43.536,1.049476,2.175117,-2.394446,-137.192
43.558,1.048863,2.174486,-2.393886,-137.160
43.577,1.048256,2.173758,-2.393420,-137.133
43.598,1.047577,2.172965,-2.392762,-137.095
43.622,1.046850,2.172171,-2.392122,-137.058
43.639,1.046116,2.171255,-2.391490,-137.022
43.665,1.045346,2.170327,-2.390476,-136.964
43.682,1.044572,2.169164,-2.388972,-136.878
43.703,1.043685,2.167886,-2.387468,-136.792
43.723,1.042783,2.166588,-2.385704,-136.691
43.741,1.042034,2.164994,-2.382935,-136.532
43.763,1.041198,2.163345,-2.379803,-136.353
43.783,1.040683,2.161465,-2.375618,-136.113
43.801,1.039831,2.159620,-2.371825,-135.896
43.822,1.038942,2.157598,-2.368079,-135.681
43.844,1.037905,2.155970,-2.365509,-135.534
43.867,1.037098,2.154206,-2.362655,-135.370
43.889,1.036086,2.152764,-2.360603,-135.253
43.910,1.034827,2.151729,-2.360410,-135.242
43.932,1.033792,2.150642,-2.359897,-135.212
43.953,1.033089,2.149320,-2.358113,-135.110
43.973,1.032161,2.147884,-2.356407,-135.012
43.994,1.031244,2.146280,-2.354066,-134.878
44.019,1.030172,2.144547,-2.351810,-134.749
44.036,1.029246,2.142681,-2.349104,-134.594
44.064,1.028213,2.140738,-2.346171,-134.426
44.083,1.027387,2.138670,-2.342376,-134.208
44.102,1.026739,2.136272,-2.337451,-133.926
44.125,1.025898,2.133816,-2.332561,-133.646
44.145,1.024760,2.131282,-2.328323,-133.403
44.163,1.023648,2.128589,-2.323905,-133.150
44.186,1.022758,2.125733,-2.318179,-132.822
44.209,1.022070,2.122757,-2.311397,-132.433
44.232,1.021163,2.119605,-2.304815,-132.056
44.244,1.020056,2.116319,-2.298964,-131.721
44.267,1.019067,2.112849,-2.292370,-131.343
44.290,1.017938,2.109178,-2.285244,-130.935
44.307,1.016263,2.105240,-2.279581,-130.610
44.327,1.015176,2.101310,-2.272689,-130.215
44.344,1.014218,2.097316,-2.264470,-129.745
44.365,1.013849,2.093286,-2.254839,-129.193
44.387,1.013700,2.089216,-2.244011,-128.572
44.412,1.013718,2.084972,-2.232200,-127.896
44.426,1.013872,2.080410,-2.219535,-127.170
44.447,1.014085,2.075753,-2.206374,-126.416
44.471,1.014332,2.070833,-2.192476,-125.620
44.499,1.014952,2.066003,-2.177774,-124.777
44.516,1.015152,2.061405,-2.164311,-124.006
44.538,1.015848,2.057372,-2.151207,-123.255
44.553,1.016787,2.053304,-2.138112,-122.505
44.576,1.017552,2.049091,-2.125024,-121.755
44.597,1.018340,2.044847,-2.112491,-121.037
44.611,1.018589,2.040546,-2.101370,-120.400
44.631,1.018932,2.036226,-2.089804,-119.737
44.649,1.019616,2.031950,-2.078051,-119.064
44.673,1.020031,2.027877,-2.067857,-118.480
44.694,1.019885,2.024285,-2.060316,-118.047
44.714,1.019453,2.021380,-2.055448,-117.769
44.735,1.018317,2.019542,-2.054925,-117.739
44.758,1.017414,2.018159,-2.055027,-117.744
44.775,1.017109,2.017206,-2.054492,-117.714
44.798,1.017069,2.016624,-2.053437,-117.653
44.816,1.016879,2.016143,-2.053202,-117.640
44.839,1.016961,2.016352,-2.053472,-117.655
44.858,1.017188,2.016835,-2.053362,-117.649
44.879,1.017264,2.017191,-2.053501,-117.657
44.901,1.017280,2.017220,-2.053570,-117.661
44.923,1.017211,2.017036,-2.053473,-117.655
44.944,1.017177,2.017001,-2.053407,-117.652
44.968,1.017170,2.016996,-2.053280,-117.644
44.989,1.017135,2.016917,-2.053241,-117.642
45.010,1.017108,2.016896,-2.053196,-117.639
45.029,1.017103,2.016876,-2.052945,-117.625
45.055,1.017093,2.016825,-2.052677,-117.610
45.077,1.017082,2.016830,-2.052680,-117.610
45.099,1.017066,2.016846,-2.052755,-117.614
45.121,1.017047,2.016802,-2.052564,-117.603
45.146,1.017035,2.016764,-2.052516,-117.601
45.167,1.017017,2.016740,-2.052515,-117.600
45.187,1.017007,2.016676,-2.052482,-117.599
45.215,1.016982,2.016666,-2.052389,-117.593
45.239,1.016986,2.016661,-2.052442,-117.596
45.258,1.016927,2.016640,-2.052362,-117.592
45.281,1.016897,2.016568,-2.052144,-117.579
45.306,1.016897,2.016575,-2.052170,-117.581
45.326,1.016891,2.016675,-2.052141,-117.579
45.347,1.016850,2.016697,-2.052099,-117.577
45.364,1.016837,2.016708,-2.051949,-117.568
45.385,1.016820,2.016697,-2.052008,-117.571
45.406,1.016918,2.016679,-2.051523,-117.544
45.424,1.016852,2.016725,-2.051429,-117.538
45.448,1.016813,2.016715,-2.051364,-117.534
45.469,1.016766,2.016703,-2.051234,-117.527
45.490,1.016745,2.016663,-2.051070,-117.518
45.514,1.016727,2.016595,-2.051006,-117.514
45.528,1.016656,2.016580,-2.050991,-117.513
45.551,1.016657,2.016567,-2.050813,-117.503
45.576,1.016658,2.016551,-2.050800,-117.502
45.594,1.016581,2.016550,-2.050767,-117.500
45.616,1.016583,2.016505,-2.050586,-117.490
45.637,1.016561,2.016533,-2.050581,-117.490
45.660,1.016514,2.016547,-2.050490,-117.484
45.680,1.016506,2.016504,-2.050347,-117.476
45.698,1.016475,2.016576,-2.050382,-117.478
45.718,1.016495,2.016623,-2.050426,-117.481
45.738,1.016560,2.016579,-2.050113,-117.463
45.762,1.016674,2.016505,-2.049287,-117.415
45.786,1.016649,2.016446,-2.048876,-117.392
45.804,1.016568,2.016254,-2.048868,-117.391
45.826,1.016466,2.015973,-2.048627,-117.378
45.851,1.016333,2.015509,-2.048260,-117.357
45.866,1.016142,2.015003,-2.047697,-117.324
45.887,1.015945,2.014331,-2.046934,-117.281
45.906,1.015673,2.013532,-2.046263,-117.242
45.928,1.015490,2.013006,-2.045819,-117.217
45.947,1.015483,2.012921,-2.045654,-117.207
45.967,1.015612,2.013331,-2.045867,-117.220
45.991,1.015761,2.013803,-2.046194,-117.238
46.011,1.015914,2.014141,-2.046255,-117.242
46.032,1.015982,2.014208,-2.046039,-117.229
46.056,1.015906,2.014118,-2.046132,-117.235
46.073,1.015915,2.014118,-2.046059,-117.231
46.097,1.015912,2.014064,-2.045879,-117.220
46.115,1.015855,2.013947,-2.045836,-117.218
46.138,1.015829,2.013826,-2.045730,-117.212
46.162,1.015794,2.013748,-2.045706,-117.210
46.182,1.015792,2.013740,-2.045613,-117.205
46.203,1.015778,2.013693,-2.045574,-117.203
46.226,1.015692,2.013649,-2.045445,-117.195
46.245,1.015735,2.013636,-2.045301,-117.187
46.268,1.015721,2.013643,-2.045353,-117.190
46.291,1.015721,2.013602,-2.045240,-117.184
46.310,1.015719,2.013589,-2.045235,-117.183
46.332,1.015725,2.013614,-2.045225,-117.183
46.355,1.015699,2.013629,-2.045103,-117.176
46.374,1.015694,2.013575,-2.044847,-117.161
46.397,1.015696,2.013631,-2.044879,-117.163
46.421,1.015685,2.013610,-2.044825,-117.160
46.438,1.015664,2.013587,-2.044841,-117.161
46.463,1.015668,2.013674,-2.044790,-117.158
46.491,1.015650,2.013662,-2.044627,-117.148
46.509,1.015652,2.013676,-2.044658,-117.150
46.532,1.015639,2.013627,-2.044680,-117.152
46.554,1.015642,2.013620,-2.044561,-117.145
46.570,1.015649,2.013629,-2.044472,-117.140
46.594,1.015638,2.013634,-2.044523,-117.143
46.610,1.015600,2.013628,-2.044424,-117.137
46.633,1.015581,2.013584,-2.044288,-117.129
46.659,1.015588,2.013625,-2.044278,-117.129
46.677,1.015580,2.013588,-2.044266,-117.128
46.697,1.015542,2.013575,-2.044319,-117.131
46.716,1.015585,2.013620,-2.044179,-117.123
46.743,1.015589,2.013667,-2.044233,-117.126
46.765,1.015553,2.013673,-2.044110,-117.119
46.786,1.015535,2.013669,-2.044084,-117.117
46.813,1.015537,2.013684,-2.044023,-117.114
46.837,1.015473,2.013701,-2.043956,-117.110
46.860,1.015479,2.013691,-2.043851,-117.104
46.882,1.015458,2.013670,-2.043721,-117.097
46.904,1.015472,2.013663,-2.043742,-117.098
46.925,1.015429,2.013655,-2.043656,-117.093
46.948,1.015414,2.013647,-2.043638,-117.092
46.970,1.015410,2.013660,-2.043572,-117.088
46.996,1.015376,2.013678,-2.043490,-117.083
47.011,1.015373,2.013649,-2.043469,-117.082
47.033,1.015347,2.013668,-2.043397,-117.078
47.051,1.015344,2.013725,-2.043332,-117.074
47.076,1.015339,2.013699,-2.043291,-117.072
47.097,1.015333,2.013724,-2.043194,-117.066
47.119,1.015335,2.013731,-2.043117,-117.062
47.139,1.015333,2.013742,-2.043131,-117.063
47.163,1.015333,2.013748,-2.043187,-117.066
47.184,1.015320,2.013759,-2.043113,-117.062
47.208,1.015326,2.013769,-2.043072,-117.059
47.228,1.015300,2.013769,-2.042903,-117.050
47.251,1.015291,2.013744,-2.042878,-117.048
47.277,1.015254,2.013737,-2.042716,-117.039
47.303,1.015243,2.013755,-2.042715,-117.039
47.326,1.015230,2.013765,-2.042599,-117.032
47.346,1.015215,2.013762,-2.042622,-117.034
47.371,1.015207,2.013745,-2.042564,-117.030
47.388,1.015188,2.013770,-2.042554,-117.030
47.409,1.015184,2.013759,-2.042449,-117.024
47.430,1.015176,2.013758,-2.042474,-117.025
47.454,1.015180,2.013777,-2.042378,-117.020
47.479,1.015159,2.013745,-2.042357,-117.018
47.495,1.015152,2.013762,-2.042271,-117.014
47.517,1.015120,2.013776,-2.042257,-117.013
47.539,1.015137,2.013758,-2.042193,-117.009
47.557,1.015126,2.013770,-2.042182,-117.008
47.576,1.015094,2.013719,-2.042119,-117.005
47.596,1.015103,2.013765,-2.042072,-117.002
47.618,1.015095,2.013755,-2.041969,-116.996
47.635,1.015057,2.013678,-2.041918,-116.993
47.657,1.015049,2.013675,-2.041890,-116.992
47.678,1.015065,2.013700,-2.041844,-116.989
47.696,1.015062,2.013707,-2.041826,-116.988
47.716,1.015066,2.013712,-2.041891,-116.992
47.740,1.015040,2.013699,-2.041801,-116.987
47.765,1.014998,2.013715,-2.041791,-116.986
47.783,1.015049,2.013755,-2.041645,-116.978
47.806,1.015031,2.013788,-2.041501,-116.969
47.825,1.014976,2.013708,-2.041441,-116.966
47.848,1.014950,2.013660,-2.041354,-116.961
47.870,1.014952,2.013663,-2.041357,-116.961
47.887,1.014939,2.013722,-2.041266,-116.956
47.909,1.014902,2.013628,-2.041169,-116.950
47.927,1.014845,2.013555,-2.041097,-116.946
47.952,1.014865,2.013614,-2.041015,-116.942
47.972,1.014848,2.013605,-2.040886,-116.934
47.995,1.014863,2.013539,-2.040691,-116.923
48.018,1.014835,2.013466,-2.040604,-116.918
48.039,1.014859,2.013389,-2.040390,-116.906
48.057,1.014858,2.013426,-2.040266,-116.899
48.081,1.014851,2.013395,-2.040064,-116.887
48.103,1.014843,2.013271,-2.039792,-116.871
48.124,1.014811,2.013153,-2.039551,-116.858
48.145,1.014804,2.013074,-2.039349,-116.846
48.173,1.014768,2.012953,-2.039200,-116.838
48.186,1.014735,2.012745,-2.038903,-116.821
48.207,1.014669,2.012444,-2.038608,-116.804
48.225,1.014577,2.012290,-2.038373,-116.790
48.246,1.014531,2.012029,-2.038031,-116.771
48.265,1.014484,2.011671,-2.037484,-116.739
48.289,1.014443,2.011092,-2.036518,-116.684
48.304,1.014324,2.010406,-2.035539,-116.628
48.325,1.014163,2.009745,-2.034666,-116.578
48.345,1.014100,2.008895,-2.033261,-116.497
48.363,1.013936,2.008027,-2.031928,-116.421
48.384,1.013784,2.006980,-2.030435,-116.335
48.405,1.013538,2.005744,-2.028982,-116.252
48.427,1.013193,2.004357,-2.027532,-116.169
48.452,1.012910,2.002801,-2.025503,-116.053
48.469,1.012619,2.001307,-2.023860,-115.959
48.490,1.012539,2.000997,-2.023495,-115.938
48.510,1.012595,2.001208,-2.023504,-115.938
48.529,1.012624,2.001164,-2.023365,-115.930
48.549,1.012545,2.001043,-2.023082,-115.914
48.568,1.012557,2.000973,-2.022855,-115.901
48.591,1.012630,2.001005,-2.022408,-115.875
48.612,1.012650,2.001070,-2.022395,-115.875
48.634,1.012620,2.001055,-2.022290,-115.869
48.658,1.012628,2.001103,-2.022269,-115.867
48.681,1.012678,2.001225,-2.022132,-115.860
48.697,1.012638,2.001299,-2.022161,-115.861
48.716,1.012700,2.001336,-2.021895,-115.846
48.734,1.012803,2.001402,-2.021566,-115.827
48.754,1.012767,2.001392,-2.021572,-115.828
48.778,1.012818,2.001392,-2.021332,-115.814
48.796,1.012930,2.001451,-2.020933,-115.791
48.819,1.013003,2.001513,-2.020445,-115.763
48.839,1.013001,2.001498,-2.020406,-115.761
48.856,1.013033,2.001565,-2.020150,-115.746
48.878,1.013036,2.001674,-2.020165,-115.747
48.895,1.013057,2.001640,-2.020008,-115.738
48.918,1.013139,2.001741,-2.019781,-115.725
48.940,1.013190,2.001786,-2.019360,-115.701
48.957,1.013139,2.001783,-2.019372,-115.701
48.981,1.013155,2.001734,-2.018910,-115.675
48.998,1.013227,2.001844,-2.018620,-115.658
49.016,1.013330,2.001958,-2.018150,-115.631
49.036,1.013343,2.001932,-2.018060,-115.626
49.056,1.013367,2.001917,-2.017716,-115.607
49.077,1.013449,2.001995,-2.017376,-115.587
49.095,1.013554,2.002156,-2.017019,-115.567
49.121,1.013640,2.002167,-2.016450,-115.534
49.135,1.013580,2.002189,-2.016503,-115.537
49.159,1.013639,2.002158,-2.016174,-115.518
49.181,1.013698,2.002264,-2.015895,-115.502
49.195,1.013831,2.002473,-2.015555,-115.483
49.216,1.013974,2.002619,-2.015026,-115.452
49.234,1.014087,2.002667,-2.014508,-115.423
49.256,1.014188,2.002819,-2.014202,-115.405
49.281,1.014328,2.003055,-2.014004,-115.394
49.300,1.014411,2.003235,-2.013752,-115.379
49.323,1.014563,2.003446,-2.013502,-115.365
49.342,1.014726,2.003646,-2.013175,-115.346
49.364,1.014844,2.003852,-2.012817,-115.326
49.384,1.014958,2.003853,-2.012204,-115.291
49.406,1.015072,2.003752,-2.011623,-115.257
49.426,1.015181,2.003801,-2.011042,-115.224
49.450,1.015217,2.003711,-2.010659,-115.202
49.468,1.015150,2.003455,-2.010474,-115.192
49.485,1.015072,2.002974,-2.009873,-115.157
49.504,1.014943,2.002280,-2.009103,-115.113
49.523,1.014832,2.001740,-2.008581,-115.083
49.545,1.014834,2.001717,-2.008517,-115.080
49.566,1.014918,2.002050,-2.008790,-115.095
49.588,1.014961,2.002254,-2.008943,-115.104
49.606,1.015019,2.002176,-2.008300,-115.067
49.628,1.015071,2.001895,-2.007470,-115.020
49.649,1.014994,2.001355,-2.006793,-114.981
49.665,1.014965,2.000624,-2.005639,-114.915
49.685,1.015024,1.999957,-2.004039,-114.823
49.707,1.014914,1.999228,-2.003029,-114.765
49.729,1.014956,1.998682,-2.002017,-114.707
49.750,1.014877,1.998062,-2.001287,-114.665
49.767,1.014897,1.997252,-1.999840,-114.582
49.789,1.014995,1.996335,-1.997603,-114.454
49.807,1.015079,1.995033,-1.994970,-114.303
49.828,1.014956,1.993586,-1.992481,-114.161
49.853,1.014845,1.991865,-1.989760,-114.005
49.869,1.014715,1.990013,-1.986611,-113.824
49.890,1.014470,1.987901,-1.983518,-113.647
49.910,1.014136,1.985762,-1.980515,-113.475
49.932,1.014095,1.983306,-1.976404,-113.240
49.957,1.014018,1.980777,-1.971826,-112.977
49.974,1.013886,1.978006,-1.967609,-112.736
49.997,1.013897,1.975277,-1.962843,-112.463
50.020,1.013768,1.972262,-1.957977,-112.184
50.039,1.013220,1.969346,-1.954889,-112.007
50.063,1.013086,1.966302,-1.950461,-111.753
50.085,1.013113,1.963332,-1.945154,-111.449
50.099,1.013507,1.960304,-1.938986,-111.096
50.122,1.013991,1.957281,-1.931983,-110.694
50.143,1.014259,1.954158,-1.925556,-110.326
50.165,1.014409,1.951030,-1.920012,-110.009
50.185,1.014373,1.947731,-1.915016,-109.722
50.202,1.014448,1.944975,-1.910472,-109.462
50.225,1.014319,1.942393,-1.906764,-109.250
50.243,1.014125,1.940174,-1.904685,-109.130
50.264,1.013759,1.938590,-1.903586,-109.067
50.286,1.013911,1.937570,-1.901465,-108.946
50.305,1.014440,1.936823,-1.898257,-108.762
50.327,1.014963,1.936638,-1.895636,-108.612
50.344,1.015431,1.936118,-1.893115,-108.467
50.371,1.015751,1.935770,-1.891346,-108.366
50.393,1.015926,1.935304,-1.889976,-108.288
50.411,1.016118,1.934502,-1.888199,-108.186
50.432,1.016456,1.933533,-1.885380,-108.024
50.453,1.017161,1.932473,-1.881022,-107.775
50.471,1.018083,1.931307,-1.875484,-107.457
50.491,1.019009,1.929702,-1.869500,-107.114
50.514,1.019581,1.927673,-1.864305,-106.817
50.538,1.020228,1.925396,-1.858785,-106.501
50.558,1.021320,1.923414,-1.851941,-106.108
50.575,1.021953,1.920983,-1.845042,-105.713
